Date,SPY_PER,SPY_EPS,SPY_signal
2009-06-01,97.21,-43.86,정상
2009-07-01,76.46,-40.370000000000005,정상
2009-08-01,66.15,-36.9,정상
2009-09-01,56.81999999999999,-33.410000000000004,정상
2009-10-01,14.899999999999999,-10.240000000000002,정상
2009-11-01,-6.48,12.919999999999998,회복
2009-12-01,-37.199999999999996,36.089999999999996,회복
2010-01-01,-50.19,42.08,회복
2010-02-01,-65.58,48.08,회복
2010-03-01,-91.46000000000001,54.07,회복
2010-04-01,-100.78999999999999,55.910000000000004,회복
2010-05-01,-106.49000000000001,57.75000000000001,회복
2010-06-01,-107.16999999999999,59.589999999999996,회복
2010-07-01,-86.11,59.5,회복
2010-08-01,-77.51,59.41,회복
2010-09-01,-67.69,59.32,회복
2010-10-01,-26.22,48.339999999999996,회복
2010-11-01,-12.63,37.36,회복
2010-12-01,-5.73,26.379999999999995,회복
2011-01-01,-4.399999999999999,24.380000000000003,회복
2011-02-01,-2.3900000000000006,22.379999999999995,회복
2011-03-01,-2.870000000000001,20.380000000000003,회복
2011-04-01,-2.8000000000000007,19.169999999999995,회복
2011-05-01,-1.1799999999999997,17.97999999999999,회복
2011-06-01,-0.7999999999999989,16.77000000000001,회복
2011-07-01,-0.11000000000000121,16.22,회복
2011-08-01,-1.6800000000000015,15.670000000000002,회복
2011-09-01,-2.1099999999999994,15.120000000000005,회복
2011-10-01,-2.0199999999999996,13.280000000000001,회복
2011-11-01,-1.7800000000000011,11.439999999999998,회복
2011-12-01,-1.75,9.600000000000009,회복
2012-01-01,-1.4300000000000015,8.810000000000002,회복
2012-02-01,-1.1500000000000004,8.02000000000001,회복
2012-03-01,-0.34999999999999964,7.230000000000004,회복
2012-04-01,-0.5100000000000016,6.170000000000002,회복
2012-05-01,-0.9000000000000004,5.109999999999999,회복
2012-06-01,-0.29999999999999893,4.049999999999997,회복
2012-07-01,-0.05999999999999872,2.5400000000000063,회복
2012-08-01,2.3500000000000014,1.0300000000000011,상승
2012-09-01,3.1900000000000013,-0.480000000000004,정상
2012-10-01,2.74,-0.46999999999999886,정상
2012-11-01,2.0200000000000014,-0.44999999999998863,정상
2012-12-01,2.1400000000000006,-0.4399999999999977,정상
2013-01-01,2.160000000000002,-0.5700000000000074,정상
2013-02-01,1.950000000000001,-0.710000000000008,정상
2013-03-01,1.9900000000000002,-0.8400000000000034,정상
