"Date","Price","Open","High","Low","Vol.","Change %"
"09/15/2022","291.10","294.07","296.53","289.46","65.30M","-1.67%"
"09/14/2022","296.03","294.86","296.93","293.06","54.91M","0.79%"
"09/13/2022","293.70","301.80","303.02","292.79","79.56M","-5.48%"
"09/12/2022","310.74","308.50","311.08","308.18","45.91M","1.19%"
"09/09/2022","307.09","302.83","307.60","300.52","56.13M","2.19%"
"09/08/2022","300.52","296.85","301.87","295.45","55.65M","0.52%"
"09/07/2022","298.97","293.54","299.99","293.27","49.26M","2.02%"
"09/06/2022","293.05","295.66","296.60","290.87","57.01M","-0.72%"
"09/02/2022","295.17","302.34","303.75","293.52","64.67M","-1.41%"
"09/01/2022","299.40","296.72","299.78","292.95","57.99M","0.04%"
"08/31/2022","299.27","303.99","304.91","299.16","50.04M","-0.58%"
"08/30/2022","301.02","306.10","306.73","298.44","51.18M","-1.11%"
"08/29/2022","304.41","304.62","307.22","303.28","48.32M","-0.99%"
"08/26/2022","307.44","320.28","321.51","307.35","69.05M","-4.10%"
"08/25/2022","320.58","316.83","320.60","315.76","38.10M","1.77%"
"08/24/2022","315.01","313.61","316.87","312.99","38.06M","0.29%"
"08/23/2022","314.10","314.12","317.00","313.33","39.50M","-0.08%"
"08/22/2022","314.36","318.50","318.74","313.53","51.10M","-2.63%"
"08/19/2022","322.86","326.17","326.84","322.08","51.77M","-1.95%"
"08/18/2022","329.28","328.44","330.49","326.79","41.94M","0.24%"
"08/17/2022","328.49","329.07","331.43","326.36","47.84M","-1.14%"
"08/16/2022","332.28","332.05","334.42","329.16","41.19M","-0.23%"
"08/15/2022","333.06","329.42","333.57","329.40","38.27M","0.81%"
"08/12/2022","330.39","326.17","330.58","325.10","40.93M","1.95%"
"08/11/2022","324.08","328.30","330.36","323.36","45.90M","-0.57%"
"08/10/2022","325.93","324.59","326.23","322.06","51.46M","2.79%"
"08/09/2022","317.08","318.77","319.03","315.42","39.76M","-1.13%"
"08/08/2022","320.71","322.69","326.47","319.21","44.07M","-0.32%"
"08/05/2022","321.75","319.19","323.83","318.39","53.89M","-0.82%"
"08/04/2022","324.40","322.97","324.72","320.77","38.97M","0.47%"
"08/03/2022","322.89","316.05","323.73","315.99","53.74M","2.72%"
"08/02/2022","314.33","312.92","318.55","311.84","48.68M","-0.30%"
"08/01/2022","315.27","313.65","318.81","312.53","46.36M","-0.06%"
"07/29/2022","315.46","311.39","316.39","309.93","57.50M","1.82%"
"07/28/2022","309.81","306.59","310.40","302.74","55.14M","0.98%"
"07/27/2022","306.81","299.04","308.54","298.46","69.30M","4.23%"
"07/26/2022","294.37","298.53","298.79","293.54","50.07M","-1.96%"
"07/25/2022","300.27","302.02","302.50","298.22","40.58M","-0.57%"
"07/22/2022","301.99","306.43","308.55","300.11","57.13M","-1.75%"
"07/21/2022","307.38","303.50","307.43","300.78","55.05M","1.44%"
"07/20/2022","303.03","298.73","304.24","297.93","67.77M","1.59%"
"07/19/2022","298.30","293.11","298.60","291.47","55.17M","3.08%"
"07/18/2022","289.40","294.72","296.16","288.20","59.52M","-0.85%"
"07/15/2022","291.87","289.73","291.98","288.08","63.82M","1.81%"
"07/14/2022","286.67","282.99","287.56","279.80","63.74M","0.36%"
"07/13/2022","285.65","280.60","288.05","280.02","73.94M","-0.21%"
"07/12/2022","286.24","290.32","292.28","284.61","55.80M","-0.97%"
"07/11/2022","289.04","292.88","293.11","288.14","55.27M","-2.14%"
"07/08/2022","295.35","292.08","296.75","291.12","59.90M","0.13%"
"07/07/2022","294.98","289.63","295.70","289.63","56.62M","2.14%"
"07/06/2022","288.80","287.35","290.95","285.59","63.19M","0.64%"
"07/05/2022","286.96","278.31","287.08","276.75","61.83M","1.71%"
"07/01/2022","282.13","278.95","282.53","277.03","56.68M","0.66%"
"06/30/2022","280.28","280.75","283.94","275.78","79.31M","-1.24%"
"06/29/2022","283.80","283.40","285.34","280.84","57.30M","0.09%"
"06/28/2022","283.54","293.00","295.65","283.35","61.87M","-3.05%"
"06/27/2022","292.45","296.00","296.58","291.29","54.15M","-0.73%"
"06/24/2022","294.61","287.74","295.04","287.50","58.42M","3.43%"
"06/23/2022","284.85","283.21","285.72","280.31","57.46M","1.49%"
"06/22/2022","280.67","278.52","285.18","277.91","67.47M","-0.15%"
"06/21/2022","281.08","278.75","283.45","278.64","51.63M","2.33%"
"06/17/2022","274.69","272.18","277.19","270.51","82.70M","1.22%"
"06/16/2022","271.39","275.59","276.06","269.28","81.91M","-4.03%"
"06/15/2022","282.80","279.42","286.83","276.61","86.05M","2.50%"
"06/14/2022","275.91","277.66","278.66","273.34","64.70M","0.18%"
"06/13/2022","275.41","279.75","282.34","274.53","94.44M","-4.65%"
"06/10/2022","288.84","293.65","294.87","288.38","85.96M","-3.53%"
"06/09/2022","299.40","305.91","309.05","299.23","55.90M","-2.68%"
"06/08/2022","307.64","309.05","311.72","306.77","38.34M","-0.72%"
"06/07/2022","309.87","303.81","310.67","302.69","44.90M","0.86%"
"06/06/2022","307.22","310.75","312.35","305.62","51.79M","0.33%"
"06/03/2022","306.20","309.03","310.47","304.92","60.91M","-2.60%"
"06/02/2022","314.38","304.85","314.56","303.40","59.29M","2.74%"
"06/01/2022","306.00","310.47","312.65","303.73","65.34M","-0.74%"
"05/31/2022","308.28","309.07","311.33","304.33","60.97M","-0.27%"
"05/27/2022","309.10","302.54","309.25","302.42","66.99M","3.26%"
"05/26/2022","299.33","290.44","300.92","290.15","59.46M","2.77%"
"05/25/2022","291.26","285.71","293.39","285.50","67.14M","1.40%"
"05/24/2022","287.24","288.13","288.86","282.25","73.49M","-2.13%"
"05/23/2022","293.48","289.75","293.87","287.29","63.65M","1.66%"
"05/20/2022","288.68","293.13","293.80","280.21","91.76M","-0.31%"
"05/19/2022","289.58","289.29","294.39","287.58","79.92M","-0.54%"
"05/18/2022","291.14","301.54","302.25","289.85","79.48M","-4.91%"
