,DAA
2019-01-10,103.63098052020013
2019-01-11,104.02889091400012
2019-01-14,103.93064031060011
2019-01-15,103.7557560112001
2019-01-16,103.74346391320012
2019-01-17,103.58709850040012
2019-01-18,103.06148315860011
2019-01-22,103.64548114960012
2019-01-23,103.61003917360011
2019-01-24,104.02054279040011
2019-01-25,103.93605334040012
2019-01-28,104.02906830640012
2019-01-29,104.53912555160012
2019-01-30,104.89429757640012
2019-01-31,105.6377399852001
2019-02-01,105.30838298520008
2019-02-04,105.95260098520008
2019-02-05,106.54721498520009
2019-02-06,106.0026839852001
2019-02-07,105.47075998520008
2019-02-08,105.54458298520008
2019-02-11,105.54657498520007
2019-02-12,106.35054998520008
2019-02-13,106.37129798520007
2019-02-14,106.58286798520007
2019-02-15,107.3376589852001
2019-02-19,107.8961599852001
2019-02-20,107.94990798520008
2019-02-21,107.5257829852001
2019-02-22,108.29843798520011
2019-02-25,108.4701069852001
2019-02-26,108.26715498520011
2019-02-27,107.92054598520012
2019-02-28,107.5938299852001
2019-03-01,107.42971790840011
2019-03-04,107.31002818040011
2019-03-05,107.3446790332001
2019-03-06,106.61564858680009
2019-03-07,106.05288183640009
2019-03-08,106.1226130332001
2019-03-11,107.28618893400008
2019-03-12,107.73277002840008
2019-03-13,108.4850743036001
2019-03-14,108.20551590360012
2019-03-15,108.48576672440007
2019-03-18,108.67877279480007
2019-03-19,108.68565226680006
2019-03-20,108.85445459320005
2019-03-21,109.78712919160004
2019-03-22,108.10711785560004
2019-03-25,108.29990121560004
2019-03-26,108.87669754520005
2019-03-27,108.35018695960004
2019-03-28,108.32865832280005
2019-03-29,108.69378833720006
2019-04-01,108.97801999220006
2019-04-02,109.18266378350006
2019-04-03,109.20406490800008
2019-04-04,109.40539056580006
2019-04-05,109.92761128480007
2019-04-08,109.79458208770006
2019-04-09,109.61702119160005
2019-04-10,110.12747974280003
2019-04-11,109.73851351190002
2019-04-12,110.00376692120004
2019-04-15,109.86509454190005
2019-04-16,109.52316058810005
2019-04-17,109.43922645590004
2019-04-18,109.77280283280005
2019-04-22,109.39295399200006
2019-04-23,110.15421049340007
2019-04-24,110.17876628570009
2019-04-25,110.13617714020009
2019-04-26,110.57901075820007
2019-04-29,110.27438283130009
2019-04-30,110.44319414620007
2019-05-01,109.83572414620006
2019-05-02,109.78324314620008
2019-05-03,111.18213314620007
2019-05-06,110.38818014620007
2019-05-07,108.33771414620008
2019-05-08,108.20104214620008
2019-05-09,107.67071614620005
2019-05-10,108.31121914620005
2019-05-13,105.60832614620006
2019-05-14,106.65340414620003
2019-05-15,107.31410014620005
2019-05-16,107.95339914620004
2019-05-17,106.92003514620005
2019-05-20,105.92753514620003
2019-05-21,107.02215714620004
2019-05-22,106.65881014620004
2019-05-23,105.42122514620003
2019-05-24,105.90278514620002
2019-05-28,105.20176314620004
2019-05-29,104.53989514620001
2019-05-30,104.85687114620004
2019-05-31,104.11819714620002
2019-06-03,104.95325821339999
2019-06-04,104.3155384521
2019-06-05,104.29811852270001
2019-06-06,104.35629475639999
2019-06-07,105.10774645890001
2019-06-10,104.2027072471
2019-06-11,104.2197643568
2019-06-12,104.5575546541
2019-06-13,105.00763530340001
2019-06-14,105.1152420733
2019-06-17,105.12782813119999
2019-06-18,105.6037556045
2019-06-19,106.08939895239999
2019-06-20,106.87844599820001
2019-06-21,106.3215094768
2019-06-24,107.1858368003
2019-06-25,107.3155308258
2019-06-26,106.507077493
2019-06-27,106.99404502899999
2019-06-28,107.1041529358
2019-07-01,107.42757009610001
2019-07-02,107.86492217240001
2019-07-03,108.37258648470001
2019-07-05,107.89638531950003
2019-07-08,107.32665184370003
2019-07-09,107.43533468790002
2019-07-10,108.11965857390001
2019-07-11,107.79944864180003
2019-07-12,108.25622301480001
2019-07-15,108.3401126587
2019-07-16,107.93840698769999
2019-07-17,107.94320592679999
2019-07-18,108.48860800829998
2019-07-19,107.77634143629999
2019-07-22,107.9555983758
2019-07-23,108.20055879969998
2019-07-24,108.90631471089998
2019-07-25,108.17265074489998
2019-07-26,108.74922163479997
2019-07-29,108.67872900669997
2019-07-30,108.59381377909999
2019-07-31,107.63010789949999
2019-08-01,109.55477089949999
2019-08-02,109.94023189949996
2019-08-05,111.11594789949999
2019-08-06,111.76874889949998
2019-08-07,112.22434989949998
2019-08-08,112.7033058995
2019-08-09,112.42350989949998
2019-08-12,113.67532189949999
2019-08-13,113.08614489949998
2019-08-14,114.11058189949998
2019-08-15,115.3672238995
2019-08-16,114.97615189950001
2019-08-19,114.05464289950001
2019-08-20,114.76831989950001
2019-08-21,114.3317548995
2019-08-22,113.9689128995
2019-08-23,115.23480489949998
2019-08-26,115.1165078995
2019-08-27,116.03035389949999
2019-08-28,116.11352689949997
2019-08-29,115.82382689949996
2019-08-30,115.79354689949996
2019-09-03,116.48856089949996
2019-09-04,117.00254889949996
2019-09-05,115.09961889949997
2019-09-06,115.18427689949998
2019-09-09,113.97583089949995
2019-09-10,112.46694689949997
2019-09-11,112.43014689949997
2019-09-12,112.20773289949999
2019-09-13,110.42781089949996
2019-09-16,111.43200489949996
2019-09-17,112.04642089949998
2019-09-18,111.99815889949997
2019-09-19,112.19001889949998
2019-09-20,113.26478289949999
2019-09-23,113.5386328995
2019-09-24,114.28288489949998
2019-09-25,112.79071489949999
2019-09-26,113.31105289950001
2019-09-27,113.30657289950001
2019-09-30,113.17889689949999
2019-10-01,113.53507116400002
2019-10-02,113.88616818680003
2019-10-03,114.65108042920002
2019-10-04,115.10346670940005
2019-10-07,114.52506800240003
2019-10-08,114.84864533450003
2019-10-09,114.31120384260005
2019-10-10,113.22485666130004
2019-10-11,112.31242213230003
2019-10-14,112.82454291360004
2019-10-15,112.24517072680004
2019-10-16,112.68134512700006
2019-10-17,112.61573183760005
2019-10-18,112.83362061450003
2019-10-21,112.49759091650004
2019-10-22,112.80787938100003
2019-10-23,112.98221755210002
2019-10-24,112.95168961680004
2019-10-25,112.47940897010002
2019-10-28,111.79176317940004
2019-10-29,112.18490572620003
2019-10-30,113.01826988950002
2019-10-31,114.09268507660002
2019-11-01,114.58928674660001
2019-11-04,114.62799934160005
2019-11-05,114.15313681160004
2019-11-06,114.24943623910004
2019-11-07,113.93260329410003
2019-11-08,113.95631179410003
2019-11-11,113.89192255660005
2019-11-12,113.93828259410004
2019-11-13,114.12114397910005
2019-11-14,114.19886405160005
2019-11-15,114.74327064910004
2019-11-18,115.03668885660004
2019-11-19,115.02647388660004
2019-11-20,114.62758355910005
2019-11-21,114.15973187410005
2019-11-22,114.14187720410007
