"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1975-12",99.63824,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-01",100.1885,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-02",100.6624,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-03",101.0146,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-04",101.1955,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-05",101.1557,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-06",100.9117,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-07",100.5539,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-08",100.1391,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-09",99.75201,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-10",99.50455,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-11",99.41779,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1976-12",99.45368,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-01",99.6217,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-02",99.93736,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-03",100.3337,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-04",100.8046,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-05",101.3159,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-06",101.824,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-07",102.3252,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-08",102.7317,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-09",103.0444,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-10",103.2292,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-11",103.2696,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1977-12",103.2222,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-01",103.1358,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-02",103.0271,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-03",102.942,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-04",102.9015,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-05",102.9289,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-06",103.0412,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-07",103.1574,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-08",103.2169,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-09",103.1757,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-10",103.0075,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-11",102.8132,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1978-12",102.7105,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-01",102.7355,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-02",102.8777,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-03",103.0663,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-04",103.1192,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-05",102.873,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-06",102.3166,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-07",101.6379,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-08",101.0175,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-09",100.5346,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-10",100.1467,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-11",99.77219,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1979-12",99.39631,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-01",99.01231,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-02",98.61074,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-03",98.16294,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-04",97.67107,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-05",97.24512,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-06",96.89503,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-07",96.61852,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-08",96.44558,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-09",96.43337,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-10",96.55659,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-11",96.82404,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1980-12",97.21278,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-01",97.69971,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-02",98.21519,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-03",98.70528,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-04",99.07408,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-05",99.24552,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-06",99.22385,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-07",99.09016,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-08",98.89378,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-09",98.71752,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-10",98.57409,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-11",98.46277,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1981-12",98.37569,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-01",98.35667,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-02",98.43707,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-03",98.55318,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-04",98.64213,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-05",98.72318,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-06",98.84939,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-07",99.05221,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-08",99.30925,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-09",99.60664,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-10",99.93425,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-11",100.2085,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1982-12",100.444,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-01",100.6773,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-02",100.9062,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-03",101.1576,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-04",101.4151,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-05",101.6494,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-06",101.8572,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-07",102.0017,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-08",102.0539,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-09",102.0247,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-10",102.0048,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-11",101.9842,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1983-12",101.9667,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-01",101.9429,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-02",101.8901,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-03",101.7727,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-04",101.5977,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-05",101.344,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-06",101.0523,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-07",100.7823,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-08",100.6031,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-09",100.4895,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-10",100.3986,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-11",100.3459,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1984-12",100.3073,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-01",100.2683,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-02",100.134,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-03",99.99557,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-04",99.85788,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-05",99.73549,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-06",99.65301,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-07",99.61536,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-08",99.62981,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-09",99.66344,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-10",99.70585,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-11",99.73315,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1985-12",99.73466,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-01",99.7104,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-02",99.70444,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-03",99.73966,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-04",99.8083,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-05",99.85919,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-06",99.90375,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-07",99.93837,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-08",99.98037,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-09",100.052,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-10",100.2013,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-11",100.4521,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1986-12",100.8104,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-01",101.2911,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-02",101.7045,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-03",102.1318,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-04",102.546,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1987-05",102.8903,
